Bib #,First Name,Last Name,M/F,Home Town,State,Country,Nationality,Event,Age,Bib,Wave,Status,Time,Note,# Finishes,# 48h,# 36h
99,Robert,Becker,M,Fort Lauderdale,Florida,United States,United States,2021 Badwater 135,76,99,2000,DNF,,,3,3,
77,Robert,Becker,M,Fort Lauderdale,Florida,United States,United States,2022 Badwater 135,77,77,2000,HON,48:17:27,,3,3,
29,Adil,Beg,M,Mumbai,,India,India,2023 Badwater 135,29,29,2000,FIN,41:18:11,,1,1,
46,Arnold,Begay,M,Broken Arrow,Oklahoma,United States,United States,2009 Badwater 135,46,46,1000,FIN,58:12:51,Time on course not affected by the fire.,1,,
53,Arnold,Begay,M,Broken Arrow,Oklahoma,United States,United States,2016 Badwater 135,53,53,2000,DNF,,,1,,
48,Arnold,Begay,M,Broken Arrow,Oklahoma,United States,United States,2021 Badwater 135,58,48,2000,DNF,,,1,,
99,Adrian,Belitu,M,Chicago,Illinois,United States,Romania,2009 Badwater 135,36,99,1000,FIN,33:46:36,,2,2,1
99,Adrian,Belitu,M,Chicago,Illinois,United States,Romania,2010 Badwater 135,37,99,1000,FIN,44:51:24,,2,2,1
,Raymond,Bell,M,Hudson,Florida,United States,United States,1990 Badwater 135,N/A,,PM,FIN,50:04:40,"*PM Start Time, Not AM.",1,,
33,Rich,Bellante,M,San Juan Capistrano,California,United States,United States,2000 Badwater 135,48,33,800,FIN,57:58:00,,1,,
7,Rich,Bellante,M,,,United States,United States,2001 Badwater 135,49,7,600,DNF,,,1,,
27,Emily,Bello,F,Newport,Kentucky,United States,United States,2013 Badwater 135,27,27,600,FIN,42:27:29,,1,1,
72,Todd,Bello,M,Newport,Kentucky,United States,United States,2013 Badwater 135,40,72,600,FIN,42:27:29,,1,1,
2,Rachel,Belmont,F,Tucson,Arizona,United States,United States,2023 Badwater 135,26,2,2100,FIN,43:59:21,,1,1,
53,Hector,Bengolea,M,Florida,FL,Argentina,Argentina,2017 Badwater 135,53,53,2130,FIN,35:57:07,,2,2,2
55,Hector,Bengolea,M,Vicente Lopez,Buenos Aires,Argentina,Argentina,2019 Badwater 135,55,55,2130,FIN,34:23:11,,2,2,2
8,Jim,Benike,M,,,United States,United States,2001 Badwater 135,51,8,600,FIN,31:16:24,,1,1,1
38,Christopher,Benjamin,M,Harrisonville,Missouri,United States,United States,2014 Badwater 135,38,38,800,FIN,31:13:04,,1,1,1
35,Elad,Benjamin,M,Raanana,,Israel,Israel,2010 Badwater 135,35,35,800,FIN,43:59:32,,1,1,
,Steve,Benjamin,M,,,United States,United States,1995 Badwater 135,N/A,,PM,DNF,,"*PM Start Time, Not AM.",,,
,Steve,Benjamin,M,,,United States,United States,1996 Badwater 135,N/A,,AM,DNF,,,,,
53,Blake,Benke,M,New York,New York,United States,United States,2007 Badwater 135,30,53,1000,FIN,30:56:59,,2,2,2
32,Blake,Benke,M,Danbury,Connecticut,United States,United States,2009 Badwater 135,32,32,1000,FIN,29:46:49,,2,2,2
